Fecha de Atencion,De 0 a antes de 1,De 01 a 05 ,De 06 a 09,De 10 a 14,De 15 a 18 ,De 19 a 26,De 27 a 44,De 45 a 59,De 60 y mas,No Definido,Total general
1/1/15,2.268,6.24,2.858,3.39,4.047,10.336,16.314,12.826,19.251,,77.432
1/2/15,5.395,19.633,11.348,12.631,13.048,34.709,65.932,51.726,55.442,,269.463
1/3/15,3.739,14.068,8.416,9.286,9.528,23.878,43.47,31.255,31.299,,174.63
1/4/15,2.034,8.458,4.359,5.007,5.169,11.219,18.231,11.505,13.725,,79.591
1/5/15,9.712,35.76,19.355,20.798,22.322,55.17,105.007,85.648,95.001,,448.08
1/6/15,9.772,39.509,21.657,22.699,24.51,58.391,109.264,89.589,96.545,,471.156
1/7/15,10.386,43.458,24.065,25.271,26.655,62.02,116.451,93.92,102.431,,503.887
1/8/15,10.272,44.492,24.87,26.794,27.551,62.945,118.387,94.773,103.646,,512.874
1/9/15,9.686,47.294,26.231,27.982,28.923,65.505,122.265,98.33,107.349,,532.752
1/10/15,4.797,27.486,15.759,16.491,16.576,38.995,73.422,56.193,58.909,,308.177
1/11/15,1.989,8.885,4.987,5.189,5.401,11.936,20.168,13.06,16.523,,88.023
1/12/15,2.127,16.397,9.573,9.799,9.713,21.344,39.428,29.683,33,,170.92
1/13/15,11.965,41.716,22.94,24.192,26.339,57.792,101.68,86.013,100.179,,471.942
1/14/15,12.02,50.195,27.863,28.99,30.552,67.343,126.688,105.923,121.679,,570.407
1/15/15,11.589,50.328,27.497,29.386,30.581,66.443,126.168,105.44,118.81,,565.472
1/16/15,10.876,47.997,26.693,28.887,29.975,64.877,122.051,100.712,111.66,,542.97
1/17/15,5.109,21.457,12.826,14.284,13.7,31.491,61.148,45.144,46.58,,251.364
1/18/15,2.062,7.378,4.368,5.061,5.07,10.693,17.943,11.466,14.117,,78.058
1/19/15,12.182,50.456,26.815,27.772,28.928,67.2,128.075,107.89,119.551,,568.066
1/20/15,11.952,52.19,27.486,28.835,29.753,67.577,127.643,109.382,121.577,,575.575
