date	De01a05 	De06a09	De10a14	De15a18 	De19a26	De27a44	De45a59	De60Ymas
20170101	4.661	2.704	2.685	2.764	6.378	11.013	8.604	13.281
20170102	17.847	9.531	10.173	10.185	26.717	52.68	43.626	49.56
20170103	24.45	13.016	13.652	13.788	35.161	67.676	55.565	62.072
20170104	26.807	14.383	14.651	14.506	36.161	70.077	58.27	64.981
20170105	27.311	14.481	16.072	15.77	37.843	72.21	59.847	67.142
20170106	26.454	14.186	14.982	15.351	36.242	68.691	56.429	61.224
20170107	12.115	6.183	6.697	6.429	16.787	32.069	24.033	25.476
20170108	4.566	1.947	1.997	2.281	5.823	9.238	5.74	8.323
20170109	5.292	2.808	3.105	2.988	6.917	10.689	7.27	10.497
20170110	34.606	18.047	18.648	17.92	42.902	81.508	70.155	82.319
20170111	35.84	18.627	19.987	18.595	42.971	81.963	70.749	81.875
20170112	46.479	19.198	20.801	19.478	43.739	83.404	70.993	81.937
20170113	38.378	22.864	24.455	22.918	49.589	96.696	82.185	92.29
20170114	15.497	8.191	8.787	7.919	19.874	39.052	29.715	31.812
20170115	5.089	2.514	2.605	2.571	6.592	10.585	6.957	9.77
20170116	37.23	19.377	19.836	19.11	44.701	85.009	74.011	85.101
20170117	39.043	19.786	20.579	19.57	45.881	86.929	74.786	86.488
20170118	37.827	18.737	20.032	19.109	44.041	84.637	73.227	84.38
20170119	37.429	19.194	20.649	19.449	45.221	85.074	73.19	84.191
20170120	35.277	18.249	19.018	18.535	42.515	81.828	70.173	80.803
20170121	17.016	8.782	9.345	8.295	19.975	38.55	30.111	32.48
20170122	4.987	2.297	2.565	2.548	6.271	10.21	6.735	9.357
20170123	38.356	18.829	19.258	18.42	44.769	86.812	75.181	86.956
20170124	38.934	19.075	19.924	19.161	45.199	87.135	76.289	87.51
20170125	37.869	18.839	18.966	18.555	44.621	86.499	75.393	85.598
20170126	36.916	18.536	18.929	18.538	44.457	85.951	73.803	84.723
20170127	35.122	17.681	18.092	17.68	42.813	81.464	70.72	80.235
20170128	15.374	8.809	9.744	8.418	19.823	38.292	29.803	31.611
20170129	5.238	2.635	2.92	2.573	6.507	10.757	6.773	8.847
20170130	36.754	18.448	17.801	17.596	43.762	85.624	74.152	83.713
20170131	38.745	19.194	19.677	18.932	45.857	90.516	78.814	89.976
20170201	33.169	17.577	16.895	16.676	41.689	80.79	69.379	75.371
20170202	32.395	16.472	16.63	16.592	40.992	79.522	68.718	74.279
20170203	31.038	16.219	16.044	15.636	40.134	77.635	65.963	70.921
20170204	14.146	8.005	8.644	7.361	18.481	35.894	26.935	26.992
20170205	5.431	2.396	2.342	2.524	6.139	9.63	6.691	9.248
20170206	34.802	17.42	16.965	16.605	42.15	82.208	70.348	76.974
20170207	34.283	17.542	17.524	17.308	42.641	82.893	71.484	77.308
20170208	34.541	17.724	18.378	17.749	42.296	83.475	71.352	77.14
20170209	33.897	17.065	17.299	16.84	41.041	81.01	69.744	75.49
20170210	33.758	17.592	17.202	17.127	41.438	80.235	68.923	76.206
20170211	15.235	8.747	9.273	7.993	18.584	36.658	27.495	27.617
20170212	6.045	2.501	2.471	2.484	6.186	9.922	6.783	9.491
20170213	36.177	18.49	18.538	17.751	43.083	84.167	72.261	77.747
20170214	36.254	18.719	18.698	17.876	42.189	84.428	72.795	80.474
20170215	35.251	18.674	18.444	17.46	41.803	83.226	71.947	78.35
20170216	34.817	18.169	18.573	17.387	42.778	82.858	70.843	76.935
20170217	33.12	17.103	17.225	16.982	40.626	79.492	67.159	72.052
20170218	15.49	8.893	9.395	7.836	18.972	37.093	27.981	29.391
20170219	6.244	2.624	2.857	3.007	6.311	9.957	6.735	9.258
20170220	36.307	18.761	18.873	17.776	43.591	85.312	72.445	79.421
20170221	36.396	18.517	19.398	17.799	42.284	83.825	72.579	79.835
20170222	36.19	18.542	19.111	17.931	42.417	82.707	71.519	77.925
